Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Valor,lat,lon
,Pinheiros,São Paulo,205,2,4,2,1995000,-23.567249,-46.7019515
,Vila Inah,São Paulo,373,4,4,4,1950000,,
,Vila Santo Estéfano,São Paulo,145,2,1,2,630000,-23.6234977,-46.6242477
,Bosque da Saúde,São Paulo,131,2,1,2,750000,-23.6094152,-46.6251697
Rua Carlos Tiago Pereira,Bosque da Saúde,São Paulo,185,4,5,4,1800000,-23.6225324,-46.6225423
Rua Timboré,Jardim Oriental,São Paulo,165,3,4,6,670000,-23.6416003,-46.6501674
,Vila Gumercindo,São Paulo,115,2,1,1,354000,-23.6046683,-46.6209505
Rua Pedro Teixeira,Vila Olímpia,São Paulo,140,3,3,1,1300000,-23.6028291,-46.6777489
Rua Banibás,Alto de Pinheiros,São Paulo,255,3,5,4,2800000,-23.5502185,-46.7150028
"Rua Santa Beatriz, , 147 ",Jardim Ibitirama,São Paulo,105,3,2,4,890000,-23.5979122,-46.5801464
,Vila Santa Catarina,São Paulo,189,3,1,2,840000,-22.7511013,-47.3279949
,Bosque da Saúde,São Paulo,265,3,1,7,1500000,-23.6094152,-46.6251697
"Rua Parque da Fonte, 0 ",Barro Branco (Zona Norte),São Paulo,605,4,6,8,3780000,-23.4725391,-46.6147904
Rua Inocêncio Nogueira,Cidade Jardim,São Paulo,732,7,6,7,5799000,-23.5961638,-46.6980616
Rua Evezu,Alto de Pinheiros,São Paulo,248,3,3,4,1800000,-23.5503566,-46.7032772
Rua Nicola Pisano,Parque São Lucas,São Paulo,76,2,2,2,420000,-23.5935569,-46.5455255
Rua Desembargador Teodomiro Dias,Conjunto Residencial Butantã,São Paulo,173,3,3,3,740000,-23.5737708,-46.7204406
Rua Palmares,Brooklin Paulista,São Paulo,355,5,4,3,2200000,-23.6340648,-46.6712179
,Jardim Guedala,São Paulo,548,4,7,4,5850000,-23.5873828,-46.71764795766417
"Rua Manoel Alves de Azevedo, 125 ",Jardim São Luís,São Paulo,265,5,4,6,575000,-23.6560511,-46.740722
Avenida Doutor Altino Arantes,Vila Clementino,São Paulo,350,3,6,8,7000000,-23.8049118,-45.3995678
"Rua Nelson de Godói Pereira, 150 ",Vila Santo Estevão,São Paulo,138,3,2,2,750000,-23.5527582,-46.5605943
,Morumbi,São Paulo,1100,5,6,16,7000000,-23.5964988,-46.7178446
,Vila Romano,São Paulo,152,3,2,2,850000,-23.5061018,-47.4769318
Rua Maria Lopes,Vila Rosa,São Paulo,90,3,3,2,459000,-23.4554816,-46.630984
,Vila Tramontano,São Paulo,930,4,3,6,9000000,,
Rua Baturité,Aclimação,São Paulo,156,3,4,1,800000,-23.5699076,-46.6283323
,Jardim Paulista,São Paulo,500,4,3,3,5700000,-23.5652185,-46.6601846
"Rua Maurício de Castilho, 406 ",Vila Monumento,São Paulo,205,5,4,4,1100000,-23.5846771,-46.6111864
,Jardim Virginia Bianca,São Paulo,400,4,6,5,1690000,,
Rua Sônia Ribeiro,Brooklin,São Paulo,271,3,3,3,1385000,-23.635579,-46.6769251
Rua Engenheiro Botelho Egas,Vila Vitório Mazzei,São Paulo,100,3,3,2,636000,-23.4805548,-46.6289586
Rua Guaniqué,Vila Natália,São Paulo,93,3,3,2,519000,-23.6258308,-46.5976999
,Planalto Paulista,São Paulo,200,3,5,2,850000,-22.3302088,-52.2244637
,Sítio do Mandaqui,São Paulo,180,3,2,1,615000,,
Rua Cabureicica,Jardim do Campo,São Paulo,120,3,2,2,380000,-23.5367983,-46.412857
Rua Visconde de Castro,Parque Colonial,São Paulo,140,3,3,2,1300000,-23.6161307,-46.6671474
Rua Comprida,Vila Mazzei,São Paulo,80,3,2,1,436000,-23.4704165,-46.6022501
Rua Muller Carioba,Jardim da Saúde,São Paulo,600,7,11,8,3800000,-23.6162933,-46.6127198
Rua Princesa Leopoldina,Alto da Lapa,São Paulo,150,3,4,4,1600000,-23.5308859,-46.7170925
,Vila Mariana,São Paulo,132,4,4,6,1200000,-23.5837,-46.632740824206934
Rua Frei Rolim,Bosque da Saúde,São Paulo,226,3,5,4,920000,-23.622844,-46.6201431
,Vila Gea,São Paulo,125,3,1,3,750000,-23.6741496,-46.6875771
Rua das Verbenas,Vila Lúcia,São Paulo,160,4,4,2,1200000,-23.1745095,-45.8266416
Rua Lázaro Sousa Martins,Água Branca,São Paulo,205,4,3,2,1210000,-23.5239946,-46.683036
,Jardim Independência,São Paulo,75,2,2,1,400000,-22.069268,-51.4783132
,Planalto Paulista,São Paulo,266,4,4,3,1600000,-22.3302088,-52.2244637
Praça Jesuíno Bandeira,Vila Romana,São Paulo,515,5,6,9,2300000,-23.53518315,-46.6961097963877
"Rua Lázaro José Gonçalves, , 192 ",Jardim Avelino,São Paulo,285,3,6,4,1580000,-23.588989,-46.5687104
Rua Rino Levi,Jardim da Glória,São Paulo,250,3,6,4,2400000,-23.6778265,-46.4957391
"Rua Igaratá, , 265 ",Quinta da Paineira,São Paulo,130,2,2,2,630000,-22.744937,-47.3554258
Rua Eden,Vila Inah,São Paulo,355,4,5,3,1850000,-23.436973,-46.4279124
Rua Professor Nova Gomes,Vila Madalena,São Paulo,407,3,6,4,3000000,-23.5475945,-46.7038819
Rua Júlio Rua Perez,Campo Belo,São Paulo,145,3,3,2,1280000,-23.6237925,-46.6714575
Rua Itabaquara,Pacaembu,São Paulo,320,3,4,4,3500000,-23.541412,-46.6663505
Rua Cotoxó,Perdizes,São Paulo,287,4,4,3,2356800,-23.5319077,-46.6847666
Rua Diogo Rodrigues Marques,Jardim Ernestina,São Paulo,137,3,3,2,580000,-23.6685343,-46.6827645
"Rua Território do Iguaçu, 89 ",Jabaquara,São Paulo,220,4,3,6,750000,-23.6343407,-46.6326877
Rua Benjamin Costa,Jardim Aeroporto,São Paulo,114,2,3,2,550000,-23.5472558,-46.3143686
"Rua Baía Grande, , 415 ",Vila Bela,São Paulo,120,3,1,10,650000,-23.5989873,-46.5705029
Rua Bom Pastor,Ipiranga,São Paulo,119,2,1,1,852000,-23.619206,-46.4505697
,Vila Romana,São Paulo,147,3,2,2,780000,-21.2383197,-47.7796753
Rua José Figliolini,Vila Nilo,São Paulo,200,4,3,2,620000,-23.4598409,-46.5743014
Alameda dos Tacaúnas,Planalto Paulista,São Paulo,150,3,4,2,780000,-23.6219069,-46.6481422
"Rua Teixeira Pinto, 49 ",Jardim Paulista,São Paulo,360,3,2,6,2980000,-23.5831688,-46.6653665
Rua Aristeu Seixas,Morumbi,São Paulo,670,5,2,4,7500000,-23.5912579,-46.7118248
Avenida Lopes de Azevedo,Jardim Guedala,São Paulo,600,4,5,4,5800000,-23.5847797,-46.704325
Rua Os Sertões,Jardim da Glória,São Paulo,105,3,4,2,1010000,-23.0252513,-46.9760558
Rua Vicente Dorsa,Jardim Prudência,São Paulo,150,4,2,3,2000000,-23.6527034,-46.6752769
,Vila Santo Estéfano,São Paulo,126,2,3,8,1500000,-23.6234977,-46.6242477
,Vila Gea,São Paulo,184,4,2,3,700000,-23.6741496,-46.6875771
Rua Massaim,Bosque da Saúde,São Paulo,111,2,3,2,890000,-23.6223659,-46.6210034
Rua Cotoxó,Perdizes,São Paulo,255,4,4,3,2868500,-23.5319077,-46.6847666
Rua André Gouveia,Aclimação,São Paulo,199,3,4,3,1930000,-23.5742905,-46.6361965
Rua Almirante Lobo,Ipiranga,São Paulo,130,3,3,1,695000,-23.5904341,-46.6037285
Rua Marcelino Champagnat,Jardim da Glória,São Paulo,600,4,4,5,2000000,-23.5887019,-46.6204306
Rua Alfredo Trindade Moreira,Vila Gertrudes,São Paulo,280,4,4,3,2150000,-23.6207935,-46.6938331
Rua Francisco Correia Dutra,Jardim Maria Luiza,São Paulo,220,3,1,3,900000,-23.5833445,-46.7555646
,Vila Nova Pauliceia,São Paulo,100,2,1,6,480000,-21.8201988,-48.5206417
"Rua Itaguara, 100 ",Cidade Vargas,São Paulo,400,6,5,4,1300000,-23.6509658,-46.6338301
"Rua Grécia, 23 ",Jardim Europa,São Paulo,280,5,7,4,4790000,-23.4154395,-46.7456084
Rua Padre Clemente Segura,Limoeiro,São Paulo,200,3,3,2,450000,-23.5136239,-46.4696017
Rua Atlântica,Jardim América,São Paulo,600,4,5,7,27000000,-20.419079,-49.9617825
Rua Comandante Ismael Guilherme,Jardim Luzitânia,São Paulo,600,3,1,4,12000000,-23.5945148,-46.6592638
Avenida Ramalho Ortigão,Vila Gumercindo,São Paulo,84,2,3,2,745000,-23.6058361,-46.6211607
Rua Diogo Rodrigues Marques,Jardim Ernestina,São Paulo,250,4,3,4,1500000,-23.6685343,-46.6827645
Rua Domingos Osvaldo Bataglia,Mirandópolis,São Paulo,280,3,6,3,1600000,-23.6092394,-46.6459067
"Rua Miguel Langone, 383 ",Itaquera,São Paulo,270,3,2,2,360000,,
Rua Camundo,Planalto Paulista,São Paulo,155,3,4,3,770000,-23.6262622,-46.6508514
"Rua Atibaia, 100 ",Pacaembu,São Paulo,570,3,6,6,3600000,-22.90612,-47.0421246
Rua Penápolis,Pacaembu,São Paulo,305,3,2,4,2900000,-23.476794,-46.2634115
"Avenida Professor João de Lorenzo, 369 ",Jardim São Jorge (Raposo Tavares),São Paulo,62,2,1,2,335004,-23.5969821,-46.7820538
Rua Nova Pátria,Bosque da Saúde,São Paulo,210,3,4,4,1180000,-23.6186656,-46.6249788
Rua Carlos dos Santos,Jardim Brasil (Zona Norte),São Paulo,122,2,2,2,585000,-23.475527,-46.5679617
Rua Ucaiari,Alto da Lapa,São Paulo,300,4,3,2,742000,-23.539213,-46.7155573
"Avenida Albert Einstein, 1009 ",Jardim Leonor,São Paulo,450,4,5,4,1682000,-23.384325099999998,-47.47841578092783
Rua Pedro,Vila Albertina,São Paulo,320,3,3,8,3000000,-23.4582823,-46.6183604
Alameda dos Apetupás,Planalto Paulista,São Paulo,400,3,5,4,4200000,,
Rua Cláudio Rossi,Jardim da Glória,São Paulo,393,4,6,4,2300000,-23.5820846,-46.6238379
Rua Vieira de Melo,Jardim Virginia Bianca,São Paulo,100,3,1,1,460000,-23.4516092,-46.6145436
Rua David Eid,Vila do Castelo,São Paulo,177,3,4,2,590000,-23.6793825,-46.6707185
Rua José Ubaldo Lomônaco,Jardim da Glória,São Paulo,145,3,4,2,1350000,-23.5865531,-46.6224873
Rua das Hortênsias,Mirandópolis,São Paulo,170,3,4,2,936000,-22.7901672,-45.1508005
"Rua Rudi Schaly, 175 ",Vila Fiat Lux,São Paulo,250,3,6,4,957000,-23.508658,-46.7218681
Avenida Ceci,Planalto Paulista,São Paulo,210,3,4,4,1995000,-23.6192276,-46.6504716
"Avenida Raimundo Pereira de Magalhães, 4123 ",Jardim Íris,São Paulo,280,4,3,4,980000,-23.4023858,-46.7270221
Rua Mangaratiba,Vila Santo Antônio,São Paulo,140,3,3,3,1000000,-23.7103417,-46.696159
"Rua Virgílio de Barros Toledo, 29 ",Jardim D'Abril,São Paulo,120,3,2,5,350000,-23.5746224,-46.7765759
Rua Turquia,Jardim Europa,São Paulo,760,3,1,5,13900000,-23.5784443,-46.6789826
"Rua Tibiriçá, 100 ",Brooklin Paulista,São Paulo,260,3,4,3,1730000,-21.173339623788547,-47.80726054096916
Rua Franklin Magalhães,Vila Santa Catarina,São Paulo,176,3,3,2,750000,-23.6524084,-46.657036
,Vila da Saúde,São Paulo,163,4,5,3,900000,-23.6186392,-46.6367235
Rua Kansas,Brooklin Paulista,São Paulo,95,2,4,2,800000,-23.609688,-46.677315
Rua Marcos Fernandes,Jardim da Saúde,São Paulo,110,3,1,5,913900,-23.6181483,-46.6209002
Rua Francisco Dias Velho,Vila Cordeiro,São Paulo,149,3,6,2,3300000,-23.619883,-46.6861046
Rua General Raposo,Vila Clementino,São Paulo,240,3,3,6,1500000,-23.6035915,-46.639047
Rua Jacarezinho,Jardins,São Paulo,1200,6,7,8,19800000,-21.1170873,-48.9661294
Rua Artur Dias,Bosque da Saúde,São Paulo,230,3,3,2,955000,-23.6225411,-46.6232507
,Vila Campo Grande,São Paulo,70,2,1,1,428000,-5.902558,-35.7742095
Rua Heitor de Morais,Pacaembu,São Paulo,700,4,4,6,5000000,-23.5442904,-46.6733302
,Vila Brasílio Machado,São Paulo,147,3,1,2,1190000,-23.71717685,-46.54681295867108
"Rua Francisco Retti, , 500 ",Vila Oratório,São Paulo,90,2,2,1,430000,-23.5689682,-46.5754415
"Rodovia Raposo Tavares, 615 ",Jardim Boa Vista (Zona Oeste),São Paulo,220,3,2,2,630000,-23.5841148,-46.7796105
,Chácara Inglesa,São Paulo,100,3,2,1,519800,-23.608307,-46.6323198
,Jardim Paulistano,São Paulo,300,4,3,4,3300000,-20.8630025,-49.4156027
"Rua Orlando Malagoli, 77 ",Rio Pequeno,São Paulo,80,2,2,1,260000,,
Rua Cecília Bonilha,Vila Bonilha Nova,São Paulo,193,3,3,5,749870,-23.4944631,-46.7157179
,Vila Bancária Munhoz,São Paulo,180,3,3,5,710000,,
"Alameda dos Auetis, 300 ",Planalto Paulista,São Paulo,390,4,4,5,2300000,-23.608917044303798,-46.64959627088608
"Rua Moncorvo Filho, 297 ",Butantã,São Paulo,380,6,3,5,2690000,-23.5679143,-46.7088692
"Rua José Guilherme Guimarães Pedroso, 65 ",Vila Campo Grande,São Paulo,149,5,3,6,570000,-23.6850229,-46.6735387
,Vila Gumercindo,São Paulo,180,3,5,4,1350000,-23.6046683,-46.6209505
"Rua José Renato Pantoja, 0 ",Lar São Paulo,São Paulo,240,3,4,2,1484000,-23.6071738,-46.742745
Rua Caçador de Esmeraldas,Vila São José (Ipiranga),São Paulo,160,2,2,2,798000,-23.5939109,-46.6193814
"Rua Cicanta, 0 ",Jardim Umarizal,São Paulo,210,3,2,2,954000,-23.6231062,-46.7537408
,Vila Campo Grande,São Paulo,125,3,1,2,470000,-5.902558,-35.7742095
Rua Almirante Soares Dutra,Morumbi,São Paulo,499,4,8,5,3800000,-23.6071872,-46.7186588
Rua Dom Silvério Pimenta,Vila Gumercindo,São Paulo,90,2,2,2,720000,-23.6014243,-46.6226292
Rua Francisco Teles Dourado,Jardim Prudência,São Paulo,150,3,3,2,700000,-23.655304,-46.6722594
Rua José Marti,Jardim da Saúde,São Paulo,240,3,3,3,1011000,-23.6181754,-46.6138321
Rua Aurelia Perez Alvarez,Jardim dos Estados,São Paulo,355,3,6,4,3540100,-23.6411482,-46.6870008
,Vila Olímpia,São Paulo,200,3,3,2,2900000,-23.5940278,-46.6842193
Rua Chiquiais,Parque Vitória,São Paulo,130,3,4,3,750000,,
,Cidade Antônio Estevão de Carvalho,São Paulo,55,2,1,1,320000,-23.5354377,-46.4699282
,Bosque da Saúde,São Paulo,240,3,1,4,1900000,-23.6094152,-46.6251697
Rua Rodrigo Vieira,Jardim Vila Mariana,São Paulo,125,3,5,4,1100000,-23.5890331,-46.6241426
Rua Nicolau Barreto,Vila Cordeiro,São Paulo,80,2,2,1,570000,-23.2281293,-47.2672485
Rua Conceição de Monte Alegre,Cidade Monções,São Paulo,95,2,2,1,636000,-23.6013564,-46.682737
Rua Bandim,Boaçava,São Paulo,530,4,5,7,4100000,-23.5375673,-46.7209489
Rua Afonso Celso,Vila Mariana,São Paulo,180,3,4,2,1198000,-23.5962981,-46.6349823
Rua Rio do Peixe,Vila Lúcia,São Paulo,107,3,3,2,720000,-23.1445837,-45.9176072
Rua Princesa Isabel,Brooklin,São Paulo,80,3,2,2,1250000,-20.5308826,-47.4381601
Rua Sousa Ramos,Vila Mariana,São Paulo,280,3,5,5,1650000,-23.5942376,-46.6318158
Rua Tomé Portes,Brooklin Paulista,São Paulo,401,4,3,5,1850000,-23.4874083,-46.610656
Rua Alberto Leal,Jabaquara,São Paulo,150,2,1,2,480000,-23.63585,-46.6445824
Rua Jamboaçu,Vila Nair,São Paulo,124,2,2,3,649999,-23.6069689,-46.6091764
"Rua Costa Aguiar, , 2220 ",Ipiranga,São Paulo,248,3,2,4,1500000,-23.5739015,-46.60758
Rua Eva Bloch,Bosque da Saúde,São Paulo,200,4,3,4,1500000,-23.5997997,-46.6276231
,Alto da Lapa,São Paulo,330,4,3,4,1800000,-23.5273913,-46.7130594
Rua das Mangueiras,Vila Santo Estéfano,São Paulo,194,2,2,2,420000,-23.4611045,-46.2672164
Rua També,Jardim Guedala,São Paulo,544,4,8,10,8000000,-23.5843739,-46.7045633
Rua Bernardino de Campos,Campo Belo,São Paulo,345,3,6,5,2500000,-23.6723793,-46.4777456
Rua Aracuã,Vila Brasílio Machado,São Paulo,110,3,3,2,650000,-23.6120221,-46.6119888
"Rua José Alves de Almeida, 0 ",Jardim Celeste,São Paulo,167,3,2,6,750000,-23.5983249,-46.7510493
,Planalto Paulista,São Paulo,155,3,4,3,770000,-22.3302088,-52.2244637
,Vila Maria Alta,São Paulo,390,7,6,2,1200000,-22.2726357,-51.4910408
Rua Bernardino de Campos,Campo Belo,São Paulo,125,3,4,2,995000,-23.6723793,-46.4777456
Rua Laplace,Brooklin,São Paulo,430,3,1,4,2300000,-23.6314685,-46.6767599
Rua Corneteiro de Jesus,Água Fria,São Paulo,174,3,3,2,1250000,,
Rua Alfredo Silveira,Jardim Catarina,São Paulo,146,2,2,1,400000,-23.584579,-46.5132019
"Rua Manajeru, 204 ",Vila Isolina Mazzei,São Paulo,120,3,3,2,740000,-23.493703,-46.6055198
Rua Marechal Bina Machado,Jardim Marajoara,São Paulo,220,3,4,3,1530000,-23.6535982,-46.6849493
Rua Virgínia,Vila Carrão,São Paulo,76,3,1,3,420000,-23.5613831,-46.5310705
Rua dos Cafezais,Vila Santa Catarina,São Paulo,117,3,3,3,870000,-23.6509124,-46.6700272
Rua Augusto Perroni,Conjunto Residencial Butantã,São Paulo,100,3,2,2,685000,-23.5728991,-46.7210636
"Rua Dona Elisa Pereira de Barros, 50 ",Jardim Europa,São Paulo,707,4,10,6,8500000,-23.5756075,-46.69293
Avenida Comendador Adibo Ares,Morumbi,São Paulo,1000,5,8,6,3350000,-23.5952601,-46.7080001
Rua També,Jardim Guedala,São Paulo,461,3,6,4,3895000,-23.5843739,-46.7045633
Rua Maria Leonete da Silva Nóbrega,Vila Ida,São Paulo,270,4,5,4,1950000,-23.5409755,-46.7092213
Rua Melo Morais Filho,Jardim Guedala,São Paulo,545,4,5,6,8500000,,
"Rua São Roque, , 480 ",Vila Tolstoi,São Paulo,250,4,2,2,650000,-23.9386454,-46.3440794
Avenida Sargento Geraldo Sant'Ana,Jardim Taquaral,São Paulo,250,2,1,2,1500000,,
Rua Lord Cockrane,Ipiranga,São Paulo,350,4,4,8,1750000,-23.5923675,-46.5975228
Rua Itaóca,Chácara Inglesa,São Paulo,195,3,4,2,1300000,-24.0174751,-46.4539533
,Vila Ponte Rasa,São Paulo,90,2,1,3,400000,-23.517644500000003,-46.48571124404441
Rua Sousa Ramos,Vila Mariana,São Paulo,220,3,3,6,2400000,-23.5942376,-46.6318158
Rua Tenente Nércio Leoni,Vila Dalva,São Paulo,360,2,3,2,650000,-23.5669683,-46.7634891
Rua Rubi,Aclimação,São Paulo,1500,4,2,6,5000000,-20.4461491,-47.4049092
"Rua Pacobá, 3773",Morumbi,São Paulo,1009,5,6,10,6400000,-23.6008602,-46.7008223
Avenida Amarilis,Cidade Jardim,São Paulo,840,4,7,8,5899900,-23.5905907,-46.7023453
,Chácara Monte Alegre,São Paulo,425,3,4,5,2500000,-22.69049305,-46.68043276878935
Rua Colatino Marques,Jardim Paulista,São Paulo,305,4,3,3,4650000,-23.5857701,-46.6648046
Rua Coronel Luís Alves,Vila Mariana,São Paulo,305,3,3,2,1700000,-23.5925919,-46.632541
Rua Brazópolis,Jardim Jaú (Zona Leste),São Paulo,184,2,1,2,450000,,
,Jardim Guanca,São Paulo,185,4,2,3,750000,,
Rua Pirituba,Mirandópolis,São Paulo,174,3,2,3,1100000,-23.6116879,-46.6403364
Rua dos Caciques,Vila da Saúde,São Paulo,140,3,3,2,650000,-23.6164533,-46.6315542
,Jardim Paulista,São Paulo,420,4,6,3,8690000,-23.5652185,-46.6601846
Rua Marcos Fernandes,Jardim da Saúde,São Paulo,115,3,1,5,913900,-23.6181483,-46.6209002
"Rua Simão de Toledo Piza, , 396 ",Vila Libanesa,São Paulo,90,2,2,1,430000,-23.5728132,-46.5757354
"Rua Francisco Gil de Araújo, 94 ",Jardim Lourdes,São Paulo,200,3,1,2,400000,-23.529274,-46.3913651
Rua Josimar Moreira de Melo,Jardim da Glória,São Paulo,298,4,4,5,1950000,-23.5874312,-46.6236091
"Rua Ponta Porã, 361 ",Vila Ipojuca,São Paulo,252,3,1,3,1100000,-23.5321967,-46.7095301
Rua Almirante Soares Dutra,Morumbi,São Paulo,558,4,7,8,4800000,-23.6071872,-46.7186588
,Jardim América,São Paulo,755,2,2,7,14900000,-21.1926885,-47.8048742
,Engenheiro Goulart,São Paulo,150,3,3,2,290000,-23.5004492,-46.527816
Rua Gregório Lopes,Parque Mandaqui,São Paulo,280,3,5,8,1250000,-23.4815033,-46.6371187
Praça Paul Harris,Indianópolis,São Paulo,592,5,6,6,5500000,-23.674652899999998,-46.561266075000006
,Jardim da Glória,São Paulo,440,3,6,4,2700000,-23.5827197,-46.6219813
Rua Doutor Manoel Maria Tourinho,Pacaembu,São Paulo,500,5,5,4,4000000,-23.5437746,-46.6678304
Rua Pedrolândia,Vila Pedra Branca,São Paulo,169,3,4,2,705000,-23.4586243,-46.6476019
Rua Maestro Antão Fernandes,Jardim São Bento,São Paulo,233,3,5,5,2300000,-23.5046876,-46.6440962
,Alto de Pinheiros,São Paulo,461,7,6,7,2650000,-23.5499064,-46.7076422
,Vila Brasilina,São Paulo,99,2,1,2,440000,-23.5222472,-47.254863
,Pinheiros,São Paulo,420,4,7,6,3800000,-23.567249,-46.7019515
Rua Alcindo Bueno de Assis,Barro Branco (Zona Norte),São Paulo,350,3,4,4,2300000,-23.4704484,-46.6118634
,Tremembé,São Paulo,106,3,3,2,650000,-22.95714,-45.547526
Rua Sebastião Rodrigues,Alto de Pinheiros,São Paulo,145,3,2,2,2150000,-20.2357024,-50.8809534
Rua Moreira Cardoso,Jardim Aeroporto,São Paulo,215,3,3,5,1100000,-23.6333241,-46.6649223
,Granja Julieta,São Paulo,436,4,7,3,3000000,-23.6275329,-46.7120009
Rua Paramu,Vila Bela,São Paulo,150,4,2,2,430000,-23.5951499,-46.5667233
"Rua Nilo Torres, 26 ",Jardim Umuarama,São Paulo,148,3,3,2,799000,-23.6576254,-46.6775128
Rua Benito Juarez,Vila Mariana,São Paulo,166,3,2,4,1650000,-23.5847296,-46.6420993
Rua Doutor Fausto de Almeida Prado Penteado,Jardim Sílvia (Zona Oeste),São Paulo,1428,4,5,10,4500000,-23.5974475,-46.703565
Avenida Ceci,Planalto Paulista,São Paulo,215,3,4,4,1995000,-23.6192276,-46.6504716
"Avenida Raimundo Pereira de Magalhães, 4123 ",Jardim Íris,São Paulo,285,4,3,4,980000,-23.4023858,-46.7270221
Rua Mangaratiba,Vila Santo Antônio,São Paulo,145,3,3,3,1000000,-23.7103417,-46.696159
"Rua Virgílio de Barros Toledo, 29 ",Jardim D'Abril,São Paulo,125,3,2,5,350000,-23.5746224,-46.7765759
Rua Turquia,Jardim Europa,São Paulo,765,3,1,5,13900000,-23.5784443,-46.6789826
"Rua Tibiriçá, 100 ",Brooklin Paulista,São Paulo,265,3,4,3,1730000,-21.173339623788547,-47.80726054096916
Rua Franklin Magalhães,Vila Santa Catarina,São Paulo,181,3,3,2,750000,-23.6524084,-46.657036
,Vila da Saúde,São Paulo,168,4,5,3,900000,-23.6186392,-46.6367235
Rua Kansas,Brooklin Paulista,São Paulo,100,2,4,2,800000,-23.609688,-46.677315
Rua Francisco Dias Velho,Vila Cordeiro,São Paulo,154,3,6,2,3300000,-23.619883,-46.6861046
Rua General Raposo,Vila Clementino,São Paulo,245,3,3,6,1500000,-23.6035915,-46.639047
Rua Jacarezinho,Jardins,São Paulo,1205,6,7,8,19800000,-21.1170873,-48.9661294
Rua Artur Dias,Bosque da Saúde,São Paulo,235,3,3,2,955000,-23.6225411,-46.6232507
,Vila Campo Grande,São Paulo,75,2,1,1,428000,-5.902558,-35.7742095
Alameda dos Tacaúnas,Planalto Paulista,São Paulo,1300,5,4,20,8000000,-23.6219069,-46.6481422
"Rua Holanda, 192 ",Jardim Europa,São Paulo,720,5,10,8,13499900,-22.6121848,-47.4060997
Rua Dom Miguel Costa,Vila Gumercindo,São Paulo,180,3,5,3,870000,,
Rua Santos Dumont,Jardim Petrópolis,São Paulo,459,6,6,4,2840000,-23.9625684,-46.3114529
"Travessa Manoel Theodoro dos Santos, 0 ",Rio Pequeno,São Paulo,200,3,2,6,770000,,
Rua Catumbi,Catumbi,São Paulo,120,3,3,1,640000,-23.530851,-46.6021065
Rua Rino Levi,Jardim da Glória,São Paulo,270,4,4,5,2750000,-23.6778265,-46.4957391
"Rua Martim Pescador, 124 ",Tatuapé,São Paulo,94,2,1,1,750000,-23.5992935,-45.3611967
"Rua Xiririca, 000 ",Vila Carrão,São Paulo,160,3,4,2,640000,-23.5538903,-46.5387766
,Vila Monumento,São Paulo,250,2,1,2,960000,-23.5764219,-46.6137805
,Mooca,São Paulo,316,3,3,12,2000000,-23.5606808,-46.5971924
Rua Pestana,Vila Guaca,São Paulo,10,3,2,2,800000,-23.4812365,-46.6362464
,Jardim Europa,São Paulo,800,4,7,6,11980000,-22.7252877,-47.3629074
Avenida Antônio de Souza Noschese,Parque Continental,São Paulo,250,4,4,4,1171000,-23.5318192,-46.7595166
Rua dos Comerciários,Cidade Vargas,São Paulo,370,2,2,5,1000000,-23.6472517,-46.6398686
Rua Blumenau,Vila Leopoldina,São Paulo,125,3,3,2,700000,-23.5382165,-46.7277382
Rua Vitorino de Morais,Chácara Santo Antônio (Zona Sul),São Paulo,260,4,4,2,1400000,,
Rua Santa Teresa de Jesus,Vila Santa Terezinha (Zona Norte),São Paulo,90,2,1,2,850000,-23.4704714,-46.5912902
,Chácara Inglesa,São Paulo,105,3,2,1,519800,-23.608307,-46.6323198
,Jardim Paulistano,São Paulo,305,4,3,4,3300000,-20.8630025,-49.4156027
"Rua Orlando Malagoli, 77 ",Rio Pequeno,São Paulo,85,2,2,1,260000,,
Rua Cecília Bonilha,Vila Bonilha Nova,São Paulo,198,3,3,5,749870,-23.4944631,-46.7157179
,Vila Bancária Munhoz,São Paulo,185,3,3,5,710000,,
"Alameda dos Auetis, 300 ",Planalto Paulista,São Paulo,395,4,4,5,2300000,-23.608917044303798,-46.64959627088608
"Rua Moncorvo Filho, 297 ",Butantã,São Paulo,385,6,3,5,2690000,-23.5679143,-46.7088692
,Butantã,São Paulo,178,2,1,2,850000,-23.5690555,-46.7218833626702
Rua Monte Alegre,Perdizes,São Paulo,280,3,5,4,2350000,-23.5320926,-46.6662256
"Rua José Guilherme Guimarães Pedroso, 65 ",Vila Campo Grande,São Paulo,154,5,3,6,570000,-23.6850229,-46.6735387
,Vila Gumercindo,São Paulo,185,3,5,4,1350000,-23.6046683,-46.6209505
"Rua José Renato Pantoja, 0 ",Lar São Paulo,São Paulo,245,3,4,2,1484000,-23.6071738,-46.742745
Rua Caçador de Esmeraldas,Vila São José (Ipiranga),São Paulo,165,2,2,2,798000,-23.5939109,-46.6193814
"Rua Cicanta, 0 ",Jardim Umarizal,São Paulo,215,3,2,2,954000,-23.6231062,-46.7537408
,Vila Campo Grande,São Paulo,130,3,1,2,470000,-5.902558,-35.7742095
Rua Almirante Soares Dutra,Morumbi,São Paulo,504,4,8,5,3800000,-23.6071872,-46.7186588
Rua Dom Silvério Pimenta,Vila Gumercindo,São Paulo,95,2,2,2,720000,-23.6014243,-46.6226292
